trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
43,2018-07-09 04:00:00+00:00,卖出,20.8,296318,6163216.93,6163219.02,282292.45,4.8,5163219.01,516.32
44,2018-08-07 04:00:00+00:00,买入,22.92,268870,6163217.36,1.66,,,,
44,2018-08-22 04:00:00+00:00,卖出,21.39,268870,5751487.6,5751489.26,-411729.75,-6.68,4751489.26,475.15
45,2018-09-28 04:00:00+00:00,买入,18.02,319219,5751474.73,14.54,,,,
45,2018-10-01 04:00:00+00:00,卖出,20.38,319219,6507172.84,6507187.37,755698.11,13.14,5507187.37,550.72
46,2018-10-02 04:00:00+00:00,买入,20.93,310902,6507178.95,8.42,,,,
46,2018-10-04 04:00:00+00:00,卖出,19.6,310902,6092642.76,6092651.18,-414536.2,-6.37,5092651.17,509.27
47,2018-10-26 04:00:00+00:00,买入,20.55,296479,6092643.22,7.95,,,,
47,2018-12-21 05:00:00+00:00,卖出,21.16,296479,6273495.59,6273503.55,180852.37,2.97,5273503.54,527.35
48,2019-04-04 04:00:00+00:00,买入,17.46,359320,6273487.68,15.86,,,,
48,2019-04-05 04:00:00+00:00,卖出,17.99,359320,6464406.59,6464422.45,190918.91,3.04,5464422.45,546.44
49,2019-06-17 04:00:00+00:00,买入,14.37,450001,6464414.04,8.42,,,,
49,2019-08-01 04:00:00+00:00,卖出,16.18,450001,7279515.99,7279524.41,815101.96,12.61,6279524.41,627.95
50,2019-09-10 04:00:00+00:00,买入,15.39,473105,7279509.21,15.2,,,,
50,2019-12-06 05:00:00+00:00,卖出,22.33,473105,10566011.07,10566026.26,3286501.86,45.15,9566026.27,956.6
51,2019-12-10 05:00:00+00:00,买入,22.66,466203,10566024.59,1.68,,,,
51,2020-03-04 05:00:00+00:00,卖出,50.93,466203,23744030.16,23744031.83,13178005.57,124.72,22744031.84,2274.4
52,2020-04-14 04:00:00+00:00,买入,46.6,509550,23744010.68,21.15,,,,
52,2020-08-12 04:00:00+00:00,卖出,98.0,509550,49935900.0,49935921.15,26191889.32,110.31,48935921.16,4893.59
53,2020-08-14 04:00:00+00:00,买入,111.0,449875,49935826.39,94.76,,,,
53,2020-09-15 04:00:00+00:00,卖出,145.52,449875,65465811.92,65465906.68,15529985.53,31.1,64465906.69,6446.59
54,2020-09-16 04:00:00+00:00,买入,146.62,446490,65465853.64,53.04,,,,
54,2020-09-28 04:00:00+00:00,卖出,141.54,446490,63196191.6,63196244.64,-2269662.04,-3.47,62196244.65,6219.62
55,2020-10-02 04:00:00+00:00,买入,140.46,449912,63196139.14,105.5,,,,
55,2020-10-26 04:00:00+00:00,卖出,137.21,449912,61732428.54,61732534.05,-1463710.59,-2.32,60732534.06,6073.25
56,2020-11-19 05:00:00+00:00,买入,164.0,376417,61732388.0,146.05,,,,
56,2021-02-17 05:00:00+00:00,卖出,259.7,376417,97754235.89,97754381.93,36021847.89,58.35,96754381.95,9675.44
57,2021-04-07 04:00:00+00:00,买入,229.0,426875,97754375.0,6.93,,,,
57,2021-05-05 04:00:00+00:00,卖出,227.02,426875,96909164.32,96909171.26,-845210.68,-0.86,95909171.27,9590.92
